name,variant,seed,epochs,entropy_reg_weight,modality_dropout_prob,ACC2_Non0,F1_Non0,MAE,Corr,ACC7,ACC2_Has0,F1_Has0,w_t_mean,w_a_mean,w_v_mean,w_t_std,awaf_entropy_mean,collapse_ratio_0.8,collapse_ratio_0.9,max_weight_mean,params,train_time_sec,output_dir
C0_base,base,42,40,0.0,0.1,73.9329268292683,69.29982046678637,1.0519796576915694,0.5575572995313507,32.21574344023323,72.59475218658892,68.66666666666666,0.767086386680603,0.059073835611343384,0.1738397777080536,0.1375172734260559,0.595212459564209,0.5174927115440369,0.08600582927465439,0.77824467420578,3056902,42.593719482421875,outputs/P4A_mosi_c0_formal\C0_base\C0_base_s42_20260616_215334
C0_base,base,2024,40,0.0,0.1,73.32317073170732,71.54471544715447,1.0688413221378195,0.57677623465668,35.13119533527696,72.8862973760933,71.98795180722892,0.5237389206886292,0.12139378488063812,0.35486721992492676,0.3338976204395294,0.6925557851791382,0.352769672870636,0.1997084617614746,0.7292580604553223,3056902,41.8983941078186,outputs/P4A_mosi_c0_formal\C0_base\C0_base_s2024_20260616_215418
C0_entropy_0.01,entropy_0.01,42,40,0.01,0.1,75.15243902439023,70.94474153297682,1.0213244422976981,0.592170551906971,34.98542274052478,73.9067055393586,70.41322314049586,0.6274054050445557,0.1673717051744461,0.2052229791879654,0.12429749220609665,0.8119173049926758,0.0903790071606636,0.0,0.6354056596755981,3056902,41.999284505844116,outputs/P4A_mosi_c0_formal\C0_entropy_0.01\C0_entropy_0.01_s42_20260616_215500
C0_entropy_0.01,entropy_0.01,2024,40,0.01,0.1,73.32317073170732,71.16968698517299,1.1007444103120803,0.5624614732278721,33.6734693877551,72.44897959183673,71.05666156202145,0.4671176075935364,0.17845989763736725,0.3544224798679352,0.2564598619937897,0.8582413196563721,0.06851311773061752,0.0,0.6428861618041992,3056902,42.307706117630005,outputs/P4A_mosi_c0_formal\C0_entropy_0.01\C0_entropy_0.01_s2024_20260616_215543
C0_entropy_0.05,entropy_0.05,42,40,0.05,0.1,73.47560975609755,69.0391459074733,1.0485428203706448,0.5637357673673397,33.23615160349854,72.30320699708454,68.64686468646865,0.5054283738136292,0.2012433409690857,0.29332828521728516,0.11426645517349243,0.9627733826637268,0.0,0.0,0.5186293125152588,3056902,41.977256059646606,outputs/P4A_mosi_c0_formal\C0_entropy_0.05\C0_entropy_0.05_s42_20260616_215625
C0_entropy_0.05,entropy_0.05,2024,40,0.05,0.1,73.32317073170732,71.35842880523732,1.0680868830640444,0.5805353145496215,33.09037900874635,72.8862973760933,71.81818181818183,0.44519302248954773,0.29322123527526855,0.2615857720375061,0.07349545508623123,1.0462578535079956,0.0,0.0,0.45881181955337524,3056902,41.89071202278137,outputs/P4A_mosi_c0_formal\C0_entropy_0.05\C0_entropy_0.05_s2024_20260616_215708
C0_stronger_md,stronger_md,42,40,0.0,0.2,75.76219512195121,70.82568807339449,1.0200871539576408,0.5935435497659335,32.06997084548105,74.48979591836735,70.28862478777587,0.6766325235366821,0.050997957587242126,0.2723694443702698,0.21861809492111206,0.6461179852485657,0.3906705677509308,0.2521865963935852,0.7211955189704895,3056902,41.52699947357178,outputs/P4A_mosi_c0_formal\C0_stronger_md\C0_stronger_md_s42_20260616_215751
C0_stronger_md,stronger_md,2024,40,0.0,0.2,75.45731707317073,71.7047451669596,1.055734191263643,0.5782905391734631,33.23615160349854,74.63556851311954,71.75324675324674,0.5082663297653198,0.05979928746819496,0.4319344162940979,0.31859540939331055,0.6352615356445312,0.3075801730155945,0.13702623546123505,0.7625088095664978,3056902,41.95258021354675,outputs/P4A_mosi_c0_formal\C0_stronger_md\C0_stronger_md_s2024_20260616_215833
C0_entropy_0.01_stronger_md,ent_0.01_md_0.2,42,40,0.01,0.2,73.17073170731707,70.66666666666667,1.108914962455185,0.5851817247354004,30.466472303207,72.59475218658892,70.98765432098766,0.6013848185539246,0.1114925667643547,0.2871226370334625,0.1927739977836609,0.8225090503692627,0.13702623546123505,0.0,0.6539508104324341,3056902,43.13682246208191,outputs/P4A_mosi_c0_formal\C0_entropy_0.01_stronger_md\C0_entropy_0.01_stronger_md_s42_20260616_215915
C0_entropy_0.01_stronger_md,ent_0.01_md_0.2,2024,40,0.01,0.2,75.0,72.39057239057239,1.0728977325673787,0.5922774276050101,33.09037900874635,74.19825072886297,72.38689547581903,0.5410565733909607,0.09850893914699554,0.36043447256088257,0.2843988537788391,0.7360415458679199,0.31049561500549316,0.0014577260008081794,0.7148565649986267,3056902,42.346686363220215,outputs/P4A_mosi_c0_formal\C0_entropy_0.01_stronger_md\C0_entropy_0.01_stronger_md_s2024_20260616_215959
