run_id,dataset,model_name,seed,epochs,best_epoch,feature_version,entropy_reg_weight,modality_dropout_prob,ACC2_Non0,F1_Non0,ACC2_Has0,F1_Has0,MAE,Corr,ACC7,w_t_mean,w_a_mean,w_v_mean,w_t_std,w_a_std,w_v_std,awaf_entropy_mean,collapse_ratio_0.8,collapse_ratio_0.9,max_weight_mean,train_time_sec,output_dir,confidence_level,paper_usable
C0_s42,MOSI,C0,42,60,20,TMDC-v1,0.0,0.2,75.0,68.5823754789272,73.76093294460642,68.19787985865725,1.0092842942402418,0.5840508729832401,32.6530612244898,0.6792294979095459,0.061221085488796234,0.25954940915107727,0.24529296159744263,0.03453293442726135,0.2172175496816635,0.6276312470436096,0.4446064233779907,0.3192419707775116,0.7362104058265686,62.45332908630371,outputs/P4A_mosi_c0_formal/mosi/C0\C0_s42_20260616_220124,B,False
C0_s2024,MOSI,C0,2024,60,26,TMDC-v1,0.0,0.2,75.3048780487805,70.54545454545455,74.19825072886297,70.25210084033613,0.9923905295376875,0.6006794802571177,32.50728862973761,0.5536273121833801,0.07153119891881943,0.3748415410518646,0.3380250334739685,0.04106425866484642,0.3105712831020355,0.6072035431861877,0.38483965396881104,0.27259474992752075,0.7753134965896606,62.19494962692261,outputs/P4A_mosi_c0_formal/mosi/C0\C0_s2024_20260616_220228,B,False
C0_s1234,MOSI,C0,1234,60,21,TMDC-v1,0.0,0.2,75.45731707317073,69.33333333333334,73.61516034985422,67.9646017699115,0.9991332678444705,0.5921023655642806,32.06997084548105,0.4734101891517639,0.13035856187343597,0.3962312340736389,0.33436477184295654,0.05939279869198799,0.29534828662872314,0.7104112505912781,0.2900874614715576,0.15306122601032257,0.7245496511459351,62.35068964958191,outputs/P4A_mosi_c0_formal/mosi/C0\C0_s1234_20260616_220330,B,False
