probe,best_epoch,best_val_ACC2,final_val_ACC2,final_val_F1,final_val_MAE,final_val_Corr,final_pred_mean,final_pred_std,final_pos_ratio
P0_majority,,,,,,,,,
P1_text_only,6,87.5,86.11111111111111,88.46153846153845,0.6769785881205157,0.8168455842937055,0.566526472568512,1.5471315383911133,0.6200873255729675
P2_audio_only,2,57.407407407407405,56.94444444444444,71.20743034055728,1.4359736628179727,-0.026694991620108674,0.36154502630233765,0.28848984837532043,0.9257642030715942
P3_vision_only,2,62.5,57.407407407407405,71.42857142857142,1.4139722349146568,0.06806669071394388,0.5386225581169128,0.4075067639350891,0.9126637578010559
P6_shuffled_label,1,57.407407407407405,57.407407407407405,72.94117647058825,1.4180981324229178,-0.17147937394410095,0.29143214225769043,0.01133636012673378,1.0
