timestamp,phase,model,dataset,split,seed,feature_version,lr,batch_size,eff_batch,epoch,best_epoch,best_val_ACC2,ACC2_Non0,F1_Non0,ACC2_Has0,F1_Has0,MAE,Corr,ACC7,confidence_level,paper_usable,config_path,log_path,output_dir,notes
20260618_152300,P6H,MinimalLoRA-AWAF,MOSI,test,42,TextFT_768d,5e-5,4,16,50,unknown,87.50,86.43,84.36,,,,0.6775,0.8275,45.92,B,no,scripts/p6h_train_lora_main.py,outputs/P6H/mosi/lora_seed42.json,outputs/P6H/mosi/,AWAF权重崩溃(vision=0.984);delta scale过小;残差零增益
20260618_181033,P6H-R,Repair-R1-norm-tau-dsr-gate,MOSI,val,42,TextFT_768d,3e-6/3e-5,4,16,30,30,87.50,,,,,,0.821,0.765,,,no,configs/experiments/p6h_repair/mosi_r1_norm_tau_dsr_gate.yaml,,outputs/P6H_repair/R1_norm_tau3_dsr02_gate2_s42/,gate关闭(0.34);delta小(0.014);AWAF entropy 0.58
20260618_185139,P6H-R,Repair-R2-entropy,MOSI,val,42,TextFT_768d,3e-6/3e-5,4,16,30,30,87.96,,,,,,0.810,0.774,,,no,configs/experiments/p6h_repair/mosi_r2_entropy.yaml,,outputs/P6H_repair/R2_entropy_s42/,AWAF entropy=1.005健康;gate仍关闭(0.33)
20260618_185139,P6H-R,Repair-R3-unifmix,MOSI,val,42,TextFT_768d,3e-6/3e-5,4,16,30,30,87.96,,,,,,0.811,0.771,,,no,configs/experiments/p6h_repair/mosi_r3_uniform_mix.yaml,,outputs/P6H_repair/R3_uniform_mix_s42/,同R2(87.96);uniform mix不额外提升
20260618_191947,P6H-R,Repair-R4-conservative,MOSI,val,42,TextFT_768d,2e-6/1e-5,4,16,7,7,57.41,,,,,,1.417,0.221,,,no,configs/experiments/p6h_repair/mosi_r4_conservative.yaml,,outputs/P6H_repair/R4_conservative_s42/,lr过低→early stop E7→text未学习
20260618_194040,P6H-R,Repair-BEST-R2-full,MOSI,test,42,TextFT_768d,3e-6/3e-5,4,16,42,32,88.89,81.86,80.00,,,,0.957,0.729,35.13,B,no,configs/models/textft_lora_awaf_mosi_p6h_repair_best.yaml,,outputs/P6H_repair/BEST_R2_full_s42/,AWAF权重健康(w_t=0.26/w_a=0.23/w_v=0.51)但text_base退化(86.43→81.86);residual_gain=0.00%
