model,seed,batch_size,lr,best_epoch_by_val,test_ACC2_Non0_regsign,test_F1_Non0_regsign,test_ACC2_Non0_cls,test_F1_Non0_cls,test_MAE,test_Corr,test_ACC7,w_t_mean,w_a_mean,w_v_mean,awaf_entropy_mean,peak_alloc_mb,peak_reserved_mb,train_time_sec,params,output_dir
AWAF-Seq,42,32,0.0001,9,73.01829268292683,71.49758454106279,72.2560975609756,71.1111111111111,1.091675063502858,0.6029033582199264,28.86297376093295,0.363028347492218,0.11470562219619751,0.5222659707069397,0.9216124415397644,356.99560546875,432.0,637.7739498615265,4147465,outputs/P4V1_awafseq_training_probe/awaf_seq_40ep\seed_42
AWAF-Seq,2024,32,0.0001,37,74.6951219512195,73.81703470031546,73.17073170731707,73.17073170731709,1.047943678844731,0.6553625358383747,31.049562682215743,0.18420864641666412,0.3679333031177521,0.4478580057621002,1.0079354047775269,350,430,640,4147465,outputs/P4V1_awafseq_training_probe/awaf_seq_40ep/seed_2024
