model,dataset,modalities,seed,best_epoch,epochs_run,ACC2_Non0,F1_Non0,ACC2_Has0,F1_Has0,MAE,Corr,ACC7,params_M,credibility,can_enter_paper,notes
tfn_lite,mosi,T+A+V,42,2,30,42.23,59.38,44.75,61.83,1.494,-0.086,14.87,1.83,A,candidate,baseline-lite formal;val best at E2;GRU encoder
lmf_lite,mosi,T+A+V,42,3,30,47.87,52.89,48.83,54.83,1.452,-0.003,15.60,1.75,A,candidate,baseline-lite formal;val best at E3
mult_lite,mosi,T+A+V,42,2,30,44.21,55.90,46.06,58.24,1.451,0.005,15.01,1.72,A,candidate,baseline-lite formal;val best at E2
self_mm_lite,mosi,T+A+V,42,4,30,49.85,54.75,50.58,56.37,1.490,-0.020,15.31,1.71,A,candidate,baseline-lite formal;val best at E4
