variant,status,config_sha256,reg_mean,reg_std,w_t_mean,w_a_mean,w_v_mean,w_t_std,w_unique,total_params,trainable_params
F0,ok,552542d9be3f461c,0.2185029685497284,0.0064990706741809845,0.34430935978889465,0.3534994125366211,0.30219119787216187,0.003010352374985814,4,360198925,4839181
F1,ok,ee050c85d8a8b25d,-0.16827134788036346,0.015717674046754837,0.3712231516838074,0.29233819246292114,0.3364386558532715,0.0023321504704654217,4,359456780,4097036
F2,ok,589673ece6b501db,-0.13775032758712769,0.02754235453903675,0.3669576048851013,0.2761199474334717,0.356922447681427,0.002696637064218521,4,359620364,4260620
F3,ok,423ed81341d37720,0.02172885462641716,0.01972210593521595,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0,1,358947597,3587853
F4,ok,0218f01c8071eb39,-0.16049273312091827,0.015110804699361324,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0,1,358947591,3587847
F5,ok,235d606431ad7ba9,0.026998154819011688,0.008970178663730621,0.28411656618118286,0.36743903160095215,0.348444402217865,0.0035123242996633053,4,359805709,4445965
E1,ok,12a2494f0a822d90,0.10844121128320694,0.016011686995625496,0.357124388217926,0.3328360319137573,0.31003957986831665,0.0011844995897263288,4,360332557,4972813
