model_name,variant,seed,epochs,feature_version,audio_feature_type,ACC2_Non0,F1_Non0,ACC2_Has0,F1_Has0,MAE,Corr,ACC7,w_t_mean,w_a_mean,w_v_mean,w_t_std,w_a_std,w_v_std,sum_w_max_dev,params,train_time_sec,output_dir,confidence_level,paper_usable
C0_40ep,baseline_40ep,42,40,TMDC-v1,wav2vec2,73.9329268292683,69.29982046678637,72.59475218658892,68.66666666666666,1.0519796576915694,0.5575572995313507,32.21574344023323,0.767086386680603,0.059073835611343384,0.1738397777080536,0.1375172734260559,0.05125841498374939,0.14128918945789337,1.1920928955078125e-07,3056902,42.092700481414795,outputs/P3C_candidate_diagnosis/mosi\C0_40ep\C0_40ep_s42_20260616_214033,C,False
C0_40ep,baseline_40ep,2024,40,TMDC-v1,wav2vec2,73.32317073170732,71.54471544715447,72.8862973760933,71.98795180722892,1.0688413221378195,0.57677623465668,35.13119533527696,0.5237389206886292,0.12139378488063812,0.35486721992492676,0.3338976204395294,0.07696160674095154,0.2804834246635437,1.1920928955078125e-07,3056902,42.345645904541016,outputs/P3C_candidate_diagnosis/mosi\C0_40ep\C0_40ep_s2024_20260616_214116,C,False
C1,40ep,42,40,TMDC-v1,wav2vec2,72.71341463414635,71.89952904238619,72.44897959183673,72.48908296943232,1.0805705907529237,0.5703732712971424,29.008746355685133,0.8413270115852356,0.09472478181123734,0.06394826620817184,0.11941282451152802,0.11765003204345703,0.03943699970841408,1.7881393432617188e-07,3321607,42.85073781013489,outputs/P3C_candidate_diagnosis/mosi\C1\C1_s42_20260616_214159,C,False
C1,40ep,2024,40,TMDC-v1,wav2vec2,73.32317073170732,68.23956442831216,72.15743440233237,67.89915966386555,1.0472158342111129,0.53910969330673,31.049562682215743,0.7722005248069763,0.057977549731731415,0.16982193291187286,0.16684667766094208,0.047616418451070786,0.12454845756292343,1.1920928955078125e-07,3321607,41.130983114242554,outputs/P3C_candidate_diagnosis/mosi\C1\C1_s2024_20260616_214243,C,False
C3_orig,40ep,42,40,TMDC-v1,wav2vec2,74.6951219512195,70.97902097902097,73.61516034985422,70.66450567260941,1.0659773511236463,0.5734557421332109,29.008746355685133,0.6324653029441833,0.11344731599092484,0.25408729910850525,0.19965040683746338,0.06046418845653534,0.2024974226951599,1.1920928955078125e-07,3320838,48.5365571975708,outputs/P3C_candidate_diagnosis/mosi\C3_orig\C3_orig_s42_20260616_214324,C,False
C3_orig,40ep,2024,40,TMDC-v1,wav2vec2,71.34146341463415,69.28104575163398,70.99125364431487,69.89409984871408,1.1098291231835202,0.5390337711777085,31.049562682215743,0.48341232538223267,0.2715580463409424,0.24502964317798615,0.2729196548461914,0.26205167174339294,0.1173870861530304,1.1920928955078125e-07,3320838,48.20166516304016,outputs/P3C_candidate_diagnosis/mosi\C3_orig\C3_orig_s2024_20260616_214413,C,False
C3_gated,40ep,42,40,TMDC-v1,wav2vec2,72.71341463414635,70.41322314049587,72.15743440233237,70.75038284839204,1.0732984557916185,0.5669655098008993,32.06997084548105,0.6051780581474304,0.07251167297363281,0.32231026887893677,0.18482361733913422,0.02275177836418152,0.17366640269756317,1.1920928955078125e-07,3320841,47.132553577423096,outputs/P3C_candidate_diagnosis/mosi\C3_gated\C3_gated_s42_20260616_214502,C,False
C3_gated,40ep,2024,40,TMDC-v1,wav2vec2,72.5609756097561,71.3375796178344,72.15743440233237,71.78729689807976,1.142397705318933,0.5296561559478278,28.717201166180757,0.3986092209815979,0.16895870864391327,0.43243202567100525,0.2536908686161041,0.09392308443784714,0.3259974718093872,1.1920928955078125e-07,3320841,48.47791242599487,outputs/P3C_candidate_diagnosis/mosi\C3_gated\C3_gated_s2024_20260616_214550,C,False
