mode,best_val_ACC2,best_epoch,gain_vs_text,test_ACC2,test_MAE,test_Corr,F1_Non0,gate_mean,delta_abs_mean,awaf_w_t,awaf_w_a,awaf_w_v,awaf_entropy,text_confidence_mean,signal_quality
text_only,86.57,5,0.00,83.99,0.839,0.779,82.29,,,,,,,strong
audio_only,56.94,3,,,0,,,,,,,,weak
vision_only,65.28,3,,,0,,,,,,,,moderate
av_only,69.44,9,,,0,,,,,,,,moderate
text_audio_residual,87.50,12,+0.93,,,,,0.358,0.037,,,,weak
text_vision_residual,87.04,8,+0.47,,,,,0.367,0.039,,,,marginal
text_av_residual,87.50,10,+0.93,,,,,0.350,0.024,~0.3,~0.3,~0.4,0.97,,marginal
text_confidence_residual,87.50,12,+0.93,85.06,0.805,0.824,83.67,0.755,0.234,0.295,0.285,0.420,1.08,0.248,gate_open_but_no_gain
