model_name,candidate_module,seed,epochs,hidden_dim,lr,batch_size,n_params,train_time_sec,MAE,Corr,ACC2_Non0,F1_Non0,ACC2_Has0,F1_Has0,ACC7,w_t_mean,w_a_mean,w_v_mean,w_t_std,w_a_std,w_v_std,sum_w_max_dev,confidence_level,paper_usable,output_dir
C0,none,42,20,256,0.0001,32,3056902,19.369030952453613,1.0945358921803598,0.5525592398670726,74.23780487804879,71.01200686106345,72.8862973760933,70.28753993610223,32.21574344023323,0.6063674688339233,0.09375631809234619,0.2998761832714081,0.16644322872161865,0.07149200141429901,0.18294891715049744,1.1920928955078125e-07,C,False,outputs/P3B_candidate_module_selection/mosi\C0\C0_s42_20260616_211745
C0,none,2024,20,256,0.0001,32,3056902,20.269060373306274,1.0346944712091553,0.5700051828719849,73.78048780487805,70.24221453287196,72.74052478134111,69.98394863563404,29.44606413994169,0.5655860900878906,0.06778620928525925,0.3666277229785919,0.2420615255832672,0.021525712683796883,0.22930499911308289,1.1920928955078125e-07,C,False,outputs/P3B_candidate_module_selection/mosi\C0\C0_s2024_20260616_211806
C1,DEConv,42,20,256,0.0001,32,3321607,20.511401414871216,1.0483486384381444,0.5696634374506557,74.6951219512195,71.47766323024055,73.61516034985422,71.13237639553431,33.23615160349854,0.7673793435096741,0.16224440932273865,0.07037618011236191,0.16992664337158203,0.16361966729164124,0.023184657096862793,1.1920928955078125e-07,C,False,outputs/P3B_candidate_module_selection/mosi\C1\C1_s42_20260616_211826
C1,DEConv,2024,20,256,0.0001,32,3321607,20.888983726501465,1.0634195179931016,0.560672211918222,75.45731707317073,71.19856887298747,73.9067055393586,70.21630615640598,31.341107871720116,0.773115336894989,0.04459623992443085,0.18228843808174133,0.11645510047674179,0.026179974898695946,0.09475451707839966,1.1920928955078125e-07,C,False,outputs/P3B_candidate_module_selection/mosi\C1\C1_s2024_20260616_211847
C3,CME,42,20,256,0.0001,32,3320838,23.89439845085144,1.0531098411904523,0.557702694495649,76.3719512195122,71.66361974405851,74.63556851311954,70.40816326530611,31.049562682215743,0.5891823768615723,0.14830054342746735,0.2625170946121216,0.10814320296049118,0.04726168513298035,0.13233140110969543,1.1920928955078125e-07,C,False,outputs/P3B_candidate_module_selection/mosi\C3\C3_s42_20260616_212014
C3,CME,2024,20,256,0.0001,32,3320838,21.621047019958496,1.0839601593423343,0.5405233716846606,73.32317073170732,70.28862478777589,72.44897959183673,70.23622047244093,29.737609329446062,0.5306289792060852,0.225321963429451,0.24404911696910858,0.16593153774738312,0.21283994615077972,0.062169499695301056,1.1920928955078125e-07,C,False,outputs/P3B_candidate_module_selection/mosi\C3\C3_s2024_20260616_212039
